Strain Name,Virus Type,GenBank Accession,Sequence Length,Pango Genome Lineage,Collection Date,Host,GenBank Host,Country,Mol Type
SAT1/CVL-2012-0355,Foot-and-mouth disease virus - type SAT 1,KJ947840,883,-N/A-,09/20/2012,Cattle,bovine,Tanzania,genomic RNA
SAT1/CVL-2012-0354,Foot-and-mouth disease virus - type SAT 1,KJ947841,883,-N/A-,09/20/2012,Cattle,bovine,Tanzania,genomic RNA
SAT2/CAR/G3853/2012,Foot-and-mouth disease virus - type SAT 2,KY581671,642,-N/A-,03/26/2012,Unknown,-N/A-,Cameroon,genomic RNA
SAT2/CAR/G3852/2012,Foot-and-mouth disease virus - type SAT 2,KY581672,642,-N/A-,03/26/2012,Unknown,-N/A-,Cameroon,genomic RNA
SAT2/CAR/G3808/2012,Foot-and-mouth disease virus - type SAT 2,KY581673,642,-N/A-,03-06-12,Unknown,-N/A-,Cameroon,genomic RNA
SAT2/CAR/G3796/2012,Foot-and-mouth disease virus - type SAT 2,KY581674,642,-N/A-,02/26/2012,Unknown,-N/A-,Cameroon,genomic RNA
SAT2/CAR/B001070/2012,Foot-and-mouth disease virus - type SAT 2,KY581675,642,-N/A-,03-06-12,Unknown,-N/A-,Cameroon,genomic RNA
O/CAR/G4849/2013,Foot-and-mouth disease virus - type O,KY581676,633,-N/A-,09-06-13,Unknown,-N/A-,Cameroon,genomic RNA
O/CAR/G4848/2013,Foot-and-mouth disease virus - type O,KY581677,633,-N/A-,09-06-13,Unknown,-N/A-,Cameroon,genomic RNA
O/CAR/G4765/2013,Foot-and-mouth disease virus - type O,KY581678,633,-N/A-,07/30/2013,Unknown,-N/A-,Cameroon,genomic RNA
O/CAR/G4260/2013,Foot-and-mouth disease virus - type O,KY581679,633,-N/A-,01-10-13,Unknown,-N/A-,Cameroon,genomic RNA
O/CAR/G4258/2013,Foot-and-mouth disease virus - type O,KY581680,633,-N/A-,01-10-13,Unknown,-N/A-,Cameroon,genomic RNA
O/CAR/G3856/2012,Foot-and-mouth disease virus - type O,KY581681,633,-N/A-,03/27/2012,Unknown,-N/A-,Cameroon,genomic RNA
O/CAR/G3836/2012,Foot-and-mouth disease virus - type O,KY581682,633,-N/A-,03/20/2012,Unknown,-N/A-,Cameroon,genomic RNA
A/CAR/14/2014,Foot-and-mouth disease virus - type A,KY581683,633,-N/A-,01/30/2014,Unknown,-N/A-,Cameroon,genomic RNA
ANG/9/74,Foot-and-mouth disease virus - type SAT 1,MG972460,660,-N/A-,1974,Cattle,cattle,Angola,genomic RNA
MOZ/1/75,Foot-and-mouth disease virus - type SAT 1,MG972461,663,-N/A-,1975,Cattle,cattle,Mozambique,genomic RNA
ALG/1/2014,Foot-and-mouth disease virus - type O,MG972462,639,-N/A-,08-10-14,Unknown,unknown,Algeria,genomic RNA
ALG/2/2014,Foot-and-mouth disease virus - type O,MG972463,639,-N/A-,08-10-14,Unknown,unknown,Algeria,genomic RNA
ALG/3/2014,Foot-and-mouth disease virus - type O,MG972464,639,-N/A-,08-10-14,Unknown,unknown,Algeria,genomic RNA
Beni-Suef AT7/Egy/2016,Foot-and-mouth disease virus - type O,MF962874,740,-N/A-,-N/A-,Buffalo,buffalo,Egypt,genomic RNA
MUR/18/2016,Foot-and-mouth disease virus - type O,MG972509,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/19/2016,Foot-and-mouth disease virus - type O,MG972510,639,-N/A-,08/15/2016,Cattle,cattle,Mauritius,genomic RNA
MUR/20/2016,Foot-and-mouth disease virus - type O,MG972511,639,-N/A-,08/15/2016,Cattle,cattle,Mauritius,genomic RNA
MUR/21/2016,Foot-and-mouth disease virus - type O,MG972512,639,-N/A-,08/15/2016,Cattle,cattle,Mauritius,genomic RNA
MUR/22/2016,Foot-and-mouth disease virus - type O,MG972513,639,-N/A-,08/15/2016,Cattle,cattle,Mauritius,genomic RNA
MUR/23/2016,Foot-and-mouth disease virus - type O,MG972514,639,-N/A-,08/15/2016,Cattle,cattle,Mauritius,genomic RNA
MUR/24/2016,Foot-and-mouth disease virus - type O,MG972515,639,-N/A-,08/15/2016,Cattle,cattle,Mauritius,genomic RNA
MOR/1/2015,Foot-and-mouth disease virus - type O,MG972490,639,-N/A-,10/28/2015,Cattle,cattle,Morocco,genomic RNA
MOR/2/2015,Foot-and-mouth disease virus - type O,MG972491,639,-N/A-,10/28/2015,Cattle,cattle,Morocco,genomic RNA
MOR/3/2015,Foot-and-mouth disease virus - type O,MG972492,639,-N/A-,10/28/2015,Cattle,cattle,Morocco,genomic RNA
MUR/1/2016,Foot-and-mouth disease virus - type O,MG972493,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/2/2016,Foot-and-mouth disease virus - type O,MG972494,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/3/2016,Foot-and-mouth disease virus - type O,MG972495,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/4/2016,Foot-and-mouth disease virus - type O,MG972496,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/5/2016,Foot-and-mouth disease virus - type O,MG972497,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/6/2016,Foot-and-mouth disease virus - type O,MG972498,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/7/2016,Foot-and-mouth disease virus - type O,MG972499,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/8/2016,Foot-and-mouth disease virus - type O,MG972500,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/9/2016,Foot-and-mouth disease virus - type O,MG972501,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/10/2016,Foot-and-mouth disease virus - type O,MG972502,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/11/2016,Foot-and-mouth disease virus - type O,MG972503,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/13/2016,Foot-and-mouth disease virus - type O,MG972504,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/14/2016,Foot-and-mouth disease virus - type O,MG972505,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/15/2016,Foot-and-mouth disease virus - type O,MG972506,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/16/2016,Foot-and-mouth disease virus - type O,MG972507,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
MUR/17/2016,Foot-and-mouth disease virus - type O,MG972508,639,-N/A-,08-09-16,Cattle,cattle,Mauritius,genomic RNA
TCH/1/72,Foot-and-mouth disease virus - type SAT 1,MG972459,660,-N/A-,01/22/1972,Cattle,cattle,Chad,genomic RNA
TUN/1/2014,Foot-and-mouth disease virus - type O,MG972603,639,-N/A-,05/19/2014,Unknown,unknown,Tunisia,genomic RNA
TUN/2/2014,Foot-and-mouth disease virus - type O,MG972604,639,-N/A-,05/28/2014,Unknown,unknown,Tunisia,genomic RNA
Beni-Suef AT10/Egy/2017,Foot-and-mouth disease virus - type O,MF962876,625,-N/A-,-N/A-,Buffalo,buffalo,Egypt,genomic RNA
Beni-Suef AO7/Egy/2017,Foot-and-mouth disease virus - type O,MF962875,640,-N/A-,-N/A-,Buffalo,buffalo,Egypt,genomic RNA
EGY/1/72,Foot-and-mouth disease virus - type A,MH053305,8209,-N/A-,05/13/1972,Cattle,cattle,Egypt,genomic RNA
TCH/2/73,Foot-and-mouth disease virus - type A,MH053306,8173,-N/A-,1973,Cattle,cattle,Chad,genomic RNA
Zambia/90,Foot-and-mouth disease virus - type A,MH053307,8169,-N/A-,05-09-90,Cattle,cattle,Zambia,genomic RNA
ETH/1/71,Foot-and-mouth disease virus - type C,MH053308,8171,-N/A-,1971,Unknown,unknown,Ethiopia,genomic RNA
KEN/32/70 (K267/67),Foot-and-mouth disease virus - type C,MH053309,8153,-N/A-,1967,Cattle,cattle,Kenya,genomic RNA
UGA/18/70,Foot-and-mouth disease virus - type C,MH053310,8158,-N/A-,03/26/1970,Cattle,cattle,Uganda,genomic RNA
ETH/3/2004,Foot-and-mouth disease virus - type O,MH053311,8172,-N/A-,2004,Cattle,cattle,Ethiopia,genomic RNA
ETH/58/2005,Foot-and-mouth disease virus - type O,MH053312,8165,-N/A-,04/20/2005,Cattle,cattle,Ethiopia,genomic RNA
ETH/2/2006,Foot-and-mouth disease virus - type O,MH053313,8162,-N/A-,May-06,Cattle,cattle,Ethiopia,genomic RNA
SUD/1/76,Foot-and-mouth disease virus - type O,MH053315,8155,-N/A-,1976,Unknown,unknown,Sudan,genomic RNA
UGA/5/96,Foot-and-mouth disease virus - type O,MH053316,8056,-N/A-,01/17/1996,Cattle,cattle,Uganda,genomic RNA
UGA/17/98,Foot-and-mouth disease virus - type O,MH053317,8180,-N/A-,1998,Unknown,unknown,Uganda,genomic RNA
UGA/3/2002,Foot-and-mouth disease virus - type O,MH053318,8160,-N/A-,2002,Unknown,unknown,Uganda,genomic RNA
BOT-BUFF/62/74,Foot-and-mouth disease virus - type SAT 1,MH053319,8177,-N/A-,1974,Bovine,Syncerus caffer,Botswana,genomic RNA
K303/83,Foot-and-mouth disease virus - type SAT 1,MH053320,8146,-N/A-,1983,Cattle,cattle,Kenya,genomic RNA
MOZ/5/81,Foot-and-mouth disease virus - type SAT 1,MH053321,8185,-N/A-,08/26/1981,Cattle,cattle,Mozambique,genomic RNA
SWA/2/89,Foot-and-mouth disease virus - type SAT 1,MH053322,8178,-N/A-,08/30/1989,Bovine,Syncerus caffer,Namibia,genomic RNA
TCH/1/72,Foot-and-mouth disease virus - type SAT 1,MH053323,8188,-N/A-,01/22/1972,Cattle,cattle,Chad,genomic RNA
UGA/47/71,Foot-and-mouth disease virus - type SAT 1,MH053324,8201,-N/A-,08/24/1971,Cattle,cattle,Uganda,genomic RNA
UGA/6/78,Foot-and-mouth disease virus - type SAT 1,MH053325,8200,-N/A-,04/18/1978,Cattle,cattle,Uganda,genomic RNA
UGA-BUFF/10/70,Foot-and-mouth disease virus - type SAT 1,MH053326,8177,-N/A-,1970,Bovine,Syncerus caffer,Uganda,genomic RNA
UGA-BUFF/21/70,Foot-and-mouth disease virus - type SAT 1,MH053327,8177,-N/A-,1970,Bovine,Syncerus caffer,Uganda,genomic RNA
BOT-BUFF/2/68,Foot-and-mouth disease virus - type SAT 2,MH053328,8136,-N/A-,1968,Bovine,Syncerus caffer,Botswana,genomic RNA
BOT-BUFF/2/69,Foot-and-mouth disease virus - type SAT 2,MH053329,8167,-N/A-,1969,Bovine,Syncerus caffer,Botswana,genomic RNA
BOT-BUFF/17/69,Foot-and-mouth disease virus - type SAT 2,MH053330,8165,-N/A-,1969,Bovine,Syncerus caffer,Botswana,genomic RNA
BOT-BUFF/107/72,Foot-and-mouth disease virus - type SAT 2,MH053331,8162,-N/A-,1972,Bovine,Syncerus caffer,Botswana,genomic RNA
BOT-BUFF/170/74,Foot-and-mouth disease virus - type SAT 2,MH053332,8164,-N/A-,1974,Bovine,Syncerus caffer,Botswana,genomic RNA
ETH/1/90,Foot-and-mouth disease virus - type SAT 2,MH053333,8121,-N/A-,08/15/1989,Cattle,cattle,Ethiopia,genomic RNA
NR/1/64,Foot-and-mouth disease virus - type SAT 2,MH053334,8173,-N/A-,1964,Cattle,cattle,Zambia,genomic RNA
SRHO/1/65,Foot-and-mouth disease virus - type SAT 2,MH053335,8127,-N/A-,1965,Cattle,cattle,Zimbabwe,genomic RNA
UGA-BUFF/12/70,Foot-and-mouth disease virus - type SAT 2,MH053336,8179,-N/A-,1970,Bovine,Syncerus caffer,Uganda,genomic RNA
UGA-BUFF/24/70,Foot-and-mouth disease virus - type SAT 2,MH053337,8178,-N/A-,1970,Bovine,Syncerus caffer,Uganda,genomic RNA
BOT/109/66,Foot-and-mouth disease virus - type SAT 3,MH053338,8098,-N/A-,1966,Cattle,cattle,Botswana,genomic RNA
BOT-BUFF/13/70,Foot-and-mouth disease virus - type SAT 3,MH053339,8102,-N/A-,1970,Bovine,Syncerus caffer,Botswana,genomic RNA
MAL/3/76,Foot-and-mouth disease virus - type SAT 3,MH053340,8144,-N/A-,08-11-76,Cattle,cattle,Malawi,genomic RNA
UGA-BUFF/27/70,Foot-and-mouth disease virus - type SAT 3,MH053341,8213,-N/A-,Oct-70,Bovine,Syncerus caffer,Uganda,genomic RNA
ZAM/P2/96 (NAN-11),Foot-and-mouth disease virus - type SAT 3,MH053342,8145,-N/A-,06-01-96,Bovine,Syncerus caffer,Zambia,genomic RNA
RV/7/34,Foot-and-mouth disease virus - type SAT 3,MH053343,8155,-N/A-,08-01-34,Cattle,cattle,Zimbabwe,genomic RNA
RHO/7/74,Foot-and-mouth disease virus - type SAT 3,MH053344,8145,-N/A-,07/31/1974,Cattle,cattle,Zimbabwe,genomic RNA
RHO/5/75,Foot-and-mouth disease virus - type SAT 3,MH053345,8147,-N/A-,09-02-75,Cattle,cattle,Zimbabwe,genomic RNA
RHO/16/76,Foot-and-mouth disease virus - type SAT 3,MH053346,8102,-N/A-,09/28/1976,Cattle,cattle,Zimbabwe,genomic RNA
RHO/23/76,Foot-and-mouth disease virus - type SAT 3,MH053347,8140,-N/A-,11-12-76,Cattle,cattle,Zimbabwe,genomic RNA
RHO/11/77,Foot-and-mouth disease virus - type SAT 3,MH053348,8154,-N/A-,02/22/1977,Cattle,cattle,Zimbabwe,genomic RNA
ZIM/P6/83 (WN-16),Foot-and-mouth disease virus - type SAT 3,MH053349,8143,-N/A-,Mar-83,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P6/83 (WN-19),Foot-and-mouth disease virus - type SAT 3,MH053350,8151,-N/A-,Mar-83,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/2/84,Foot-and-mouth disease virus - type SAT 3,MH053351,8151,-N/A-,08/28/1984,Cattle,cattle,Zimbabwe,genomic RNA
ZIM/P27/90 (DSA-31),Foot-and-mouth disease virus - type SAT 3,MH053352,8160,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ETH/1/2007,Foot-and-mouth disease virus - type O,MH053314,8174,-N/A-,02-08-07,Cattle,cattle,Ethiopia,genomic RNA
EGY4,Foot-and-mouth disease virus - type O,LC384398,1017,-N/A-,2017,Ruminant,Ruminant,Egypt,genomic RNA
EGY1,Foot-and-mouth disease virus - type O,LC384395,1000,-N/A-,2016,Ruminant,Ruminant,Egypt,genomic RNA
EGY2,Foot-and-mouth disease virus - type O,LC384396,1039,-N/A-,2016,Ruminant,Ruminant,Egypt,genomic RNA
EGY3,Foot-and-mouth disease virus - type O,LC384397,1005,-N/A-,2017,Ruminant,Ruminant,Egypt,genomic RNA
A/CAR/4420J180P/2015_pro,Foot-and-mouth disease virus - type A,MG873198,633,-N/A-,10-12-15,Cattle,cattle,Cameroon,genomic RNA
A/CAR/5921J90P/2015_pro,Foot-and-mouth disease virus - type A,MG873199,633,-N/A-,07/14/2015,Cattle,cattle,Cameroon,genomic RNA
A/CAR/5923J180P/2015_pro,Foot-and-mouth disease virus - type A,MG873200,633,-N/A-,10-12-15,Cattle,cattle,Cameroon,genomic RNA
A/CAR/5928J270P/2016_pro,Foot-and-mouth disease virus - type A,MG873201,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
A/CAR/5940K/2015,Foot-and-mouth disease virus - type A,MG873202,633,-N/A-,01-02-15,Cattle,cattle,Cameroon,genomic RNA
A/CAR/C41J180P/2015_pro,Foot-and-mouth disease virus - type A,MG873203,633,-N/A-,10-12-15,Cattle,cattle,Cameroon,genomic RNA
A/CAR/C41J270P/2016_pro,Foot-and-mouth disease virus - type A,MG873204,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
A/CAR/D72J42P/2015_pro,Foot-and-mouth disease virus - type A,MG873205,633,-N/A-,05/27/2015,Cattle,cattle,Cameroon,genomic RNA
A/CAR/K002/2015,Foot-and-mouth disease virus - type A,MG873206,633,-N/A-,01-02-15,Cattle,cattle,Cameroon,genomic RNA
A/CAR/K009/2015,Foot-and-mouth disease virus - type A,MG873207,633,-N/A-,01-02-15,Cattle,cattle,Cameroon,genomic RNA
O/CAR/A58BSJ90P/2015_pro,Foot-and-mouth disease virus - type O,MG873208,633,-N/A-,07/14/2015,Cattle,cattle,Cameroon,genomic RNA
O/CAR/A68J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873209,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/A72J180P/2015_pro,Foot-and-mouth disease virus - type O,MG873210,633,-N/A-,10-12-15,Cattle,cattle,Cameroon,genomic RNA
O/CAR/A72J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873211,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/A78J360P/2016_pro,Foot-and-mouth disease virus - type O,MG873212,633,-N/A-,04/15/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/B80J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873213,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/C66J180P/2015_pro,Foot-and-mouth disease virus - type O,MG873214,633,-N/A-,10-12-15,Cattle,cattle,Cameroon,genomic RNA
O/CAR/C66J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873215,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/C67BSJ90P/2015_pro,Foot-and-mouth disease virus - type O,MG873216,633,-N/A-,07/14/2015,Cattle,cattle,Cameroon,genomic RNA
O/CAR/C67J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873217,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/D1J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873218,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/D55J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873219,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/D56J360P/2016_pro,Foot-and-mouth disease virus - type O,MG873220,633,-N/A-,04/15/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/D62J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873221,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/D65J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873222,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
O/CAR/D78J270P/2016_pro,Foot-and-mouth disease virus - type O,MG873223,633,-N/A-,01/19/2016,Cattle,cattle,Cameroon,genomic RNA
SAT2/CAR/G5819/2015,Foot-and-mouth disease virus - type SAT 2,MG873224,642,-N/A-,01-02-15,Cattle,cattle,Cameroon,genomic RNA
SAR/1/13,Foot-and-mouth disease virus - type SAT 2,KT161965,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/2/13,Foot-and-mouth disease virus - type SAT 2,KT161966,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/3/13,Foot-and-mouth disease virus - type SAT 2,KT161967,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/5/13,Foot-and-mouth disease virus - type SAT 2,KT161968,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/11/13,Foot-and-mouth disease virus - type SAT 2,KT161969,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/14/13,Foot-and-mouth disease virus - type SAT 2,KT161970,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/15/13,Foot-and-mouth disease virus - type SAT 2,KT161971,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/16/13,Foot-and-mouth disease virus - type SAT 2,KT161972,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/17/13,Foot-and-mouth disease virus - type SAT 2,KT161973,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/18/13,Foot-and-mouth disease virus - type SAT 2,KT161974,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
SAR/19/13,Foot-and-mouth disease virus - type SAT 2,KT161975,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
BOT/9/98,Foot-and-mouth disease virus - type SAT 3,KT161976,2220,-N/A-,1998,Cattle,Bos taurus,Botswana,genomic RNA
KNP/15/96,Foot-and-mouth disease virus - type SAT 3,KT161977,2220,-N/A-,1996,Cattle,Bos taurus,South Africa,genomic RNA
TAN/16/2014,Foot-and-mouth disease virus - type SAT 1,MF592676,663,-N/A-,08/24/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/17/2014,Foot-and-mouth disease virus - type SAT 1,MF592677,663,-N/A-,09-02-14,Cattle,cattle,Tanzania,genomic RNA
TAN/18/2014,Foot-and-mouth disease virus - type SAT 1,MF592678,663,-N/A-,09-02-14,Cattle,cattle,Tanzania,genomic RNA
TAN/19/2014,Foot-and-mouth disease virus - type SAT 1,MF592679,663,-N/A-,09-03-14,Cattle,cattle,Tanzania,genomic RNA
TAN/20/2014,Foot-and-mouth disease virus - type SAT 1,MF592680,663,-N/A-,09-03-14,Cattle,cattle,Tanzania,genomic RNA
TAN/21/2014,Foot-and-mouth disease virus - type SAT 1,MF592681,663,-N/A-,09-09-14,Cattle,cattle,Tanzania,genomic RNA
TAN/22/2014,Foot-and-mouth disease virus - type SAT 1,MF592682,663,-N/A-,09-09-14,Cattle,cattle,Tanzania,genomic RNA
TAN/24/2014,Foot-and-mouth disease virus - type SAT 1,MF592683,663,-N/A-,09-09-14,Cattle,cattle,Tanzania,genomic RNA
TAN/25/2014,Foot-and-mouth disease virus - type SAT 1,MF592684,663,-N/A-,09-09-14,Cattle,cattle,Tanzania,genomic RNA
TAN/26/2014,Foot-and-mouth disease virus - type SAT 1,MF592685,663,-N/A-,09-09-14,Cattle,cattle,Tanzania,genomic RNA
TAN/28/2014,Foot-and-mouth disease virus - type SAT 1,MF592686,663,-N/A-,09-09-14,Cattle,cattle,Tanzania,genomic RNA
TAN/29/2014,Foot-and-mouth disease virus - type SAT 1,MF592687,663,-N/A-,10-09-14,Cattle,cattle,Tanzania,genomic RNA
TAN/30/2014,Foot-and-mouth disease virus - type SAT 1,MF592688,663,-N/A-,10-09-14,Cattle,cattle,Tanzania,genomic RNA
TAN/32/2014,Foot-and-mouth disease virus - type SAT 1,MF592689,663,-N/A-,10/15/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/33/2014,Foot-and-mouth disease virus - type SAT 1,MF592690,663,-N/A-,10/16/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/34/2014,Foot-and-mouth disease virus - type SAT 1,MF592691,663,-N/A-,10/16/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/35/2014,Foot-and-mouth disease virus - type SAT 1,MF592692,663,-N/A-,11-07-14,Cattle,cattle,Tanzania,genomic RNA
TAN/36/2014,Foot-and-mouth disease virus - type SAT 1,MF592693,663,-N/A-,11-07-14,Cattle,cattle,Tanzania,genomic RNA
TAN/40/2012,Foot-and-mouth disease virus - type A,MF592625,639,-N/A-,06-01-12,Cattle,cattle,Tanzania,genomic RNA
TAN/27/2013,Foot-and-mouth disease virus - type SAT 1,MF592661,663,-N/A-,09/26/2013,Cattle,cattle,Tanzania,genomic RNA
TAN/29/2013,Foot-and-mouth disease virus - type SAT 1,MF592662,663,-N/A-,09/26/2013,Cattle,cattle,Tanzania,genomic RNA
TAN/30/2013,Foot-and-mouth disease virus - type SAT 1,MF592663,663,-N/A-,10-09-13,Cattle,cattle,Tanzania,genomic RNA
TAN/31/2013,Foot-and-mouth disease virus - type SAT 1,MF592664,663,-N/A-,10-09-13,Cattle,cattle,Tanzania,genomic RNA
TAN/3/2014,Foot-and-mouth disease virus - type O,MF592665,639,-N/A-,05/24/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/4/2014,Foot-and-mouth disease virus - type O,MF592666,639,-N/A-,05/24/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/6/2014,Foot-and-mouth disease virus - type O,MF592667,639,-N/A-,05/24/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/7/2014,Foot-and-mouth disease virus - type O,MF592668,639,-N/A-,05/25/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/8/2014,Foot-and-mouth disease virus - type O,MF592669,639,-N/A-,05/25/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/9/2014,Foot-and-mouth disease virus - type O,MF592670,639,-N/A-,05/25/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/10/2014,Foot-and-mouth disease virus - type O,MF592671,639,-N/A-,05/25/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/11/2014,Foot-and-mouth disease virus - type SAT 1,MF592672,663,-N/A-,08/18/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/12/2014,Foot-and-mouth disease virus - type SAT 1,MF592673,663,-N/A-,08/18/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/13/2014,Foot-and-mouth disease virus - type SAT 1,MF592674,663,-N/A-,08/24/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/14/2014,Foot-and-mouth disease virus - type SAT 1,MF592675,663,-N/A-,08/24/2014,Cattle,cattle,Tanzania,genomic RNA
TAN/25/2013,Foot-and-mouth disease virus - type SAT 1,MF592659,663,-N/A-,08/16/2013,Cattle,cattle,Tanzania,genomic RNA
TAN/26/2013,Foot-and-mouth disease virus - type A,MF592660,639,-N/A-,08/16/2013,Cattle,cattle,Tanzania,genomic RNA
TAN/64/2012,Foot-and-mouth disease virus - type SAT 2,MF592634,645,-N/A-,08/17/2012,Cattle,cattle,Tanzania,genomic RNA
TAN/65/2012,Foot-and-mouth disease virus - type A,MF592635,639,-N/A-,08/18/2012,Cattle,cattle,Tanzania,genomic RNA
TAN/66/2012,Foot-and-mouth disease virus - type A,MF592636,639,-N/A-,08/18/2012,Cattle,cattle,Tanzania,genomic RNA
TAN/67/2012,Foot-and-mouth disease virus - type A,MF592637,636,-N/A-,09/15/2012,Cattle,cattle,Tanzania,genomic RNA
TAN/68/2012,Foot-and-mouth disease virus - type A,MF592638,636,-N/A-,09/15/2012,Cattle,cattle,Tanzania,genomic RNA
TAN/69/2012,Foot-and-mouth disease virus - type A,MF592639,636,-N/A-,10-03-12,Cattle,cattle,Tanzania,genomic RNA
TAN/70/2012,Foot-and-mouth disease virus - type A,MF592640,636,-N/A-,10-03-12,Cattle,cattle,Tanzania,genomic RNA
TAN/71/2012,Foot-and-mouth disease virus - type A,MF592641,636,-N/A-,10-05-12,Cattle,cattle,Tanzania,genomic RNA
TAN/72/2012,Foot-and-mouth disease virus - type A,MF592642,636,-N/A-,10-05-12,Cattle,cattle,Tanzania,genomic RNA
TAN/73/2012,Foot-and-mouth disease virus - type A,MF592643,636,-N/A-,10/16/2012,Cattle,cattle,Tanzania,genomic RNA
TAN/27/2012,Foot-and-mouth disease virus - type SAT 1,MF592644,663,-N/A-,05-02-12,Cattle,cattle,Tanzania,genomic RNA
TAN/1/2013,Foot-and-mouth disease virus - type A,MF592645,639,-N/A-,01/18/2013,Cattle,cattle,Tanzania,genomic RNA
TAN/2/2013,Foot-and-mouth disease virus - type A,MF592646,639,-N/A-,01/18/2013,Cattle,cattle,Tanzania,genomic RNA
TAN/3/2013,Foot-and-mouth disease virus - type A,MF592647,639,-N/A-,02-11-13,Cattle,cattle,Tanzania,genomic RNA
TAN/5/2013,Foot-and-mouth disease virus - type A,MF592648,639,-N/A-,03/16/2013,Cattle,cattle,Tanzania,genomic RNA
